,id,text,created_at
6,1496150382719946755,RT @rhymeskora: @vvotanet Momen paling bersejarah ketika akun twitter jokowi ngetwit tentang senbatsu uzza,2022-02-22T15:50:23.000Z
8,1496150355868286976,"RT @jokowi: Ibu Kota Nusantara kelak akan menggagas konsep Smart Forest City dengan 70 persen kawasannya berupa area hijau. 

Pengelolaan t…",2022-02-22T15:50:16.000Z
9,1496150349820076032,@paimo_van @anticebong2021 @QalbuBahasa @Dimas__seno @engkuk_manuk @JafYaya2150 @Djayeng_seno @ZaDevana @julid_aja @veraagustian_ @TenriSau_ @AntonKu62463911 @YudiSet16452924 @KadrunGoblokPea @2020_STMJ @Uplu7 @DoankWarto @korekbiasa @AKamas0911 @MahbubGhani @AsliArmed @cagubnyinyir2 @herilatief @semiaji_w @SoffiAgus @NogoSosroAsli @panjianom102 @SalamBudi1 @kakekharam @papa_loren @RajaSuspend_ @Vv3Yz @El70004 @ChomZdelaRoCa @Tonyoo13 @Yonesman2 @Ladede3 @Mukidi_alNgibul @Iyoet___Asriie @MCAOps @antonah61851221 @jhon_gudel @LDyantomy @maspiyuaja @Megatop99 Kok si jokowi ga pernah reuni atau pamer temen masa kuliah,2022-02-22T15:50:15.000Z
10,1496150347773095944,"RT @RamliRizal: Soeharto pilih mentri2 profesional sesuaikan. Gus Dur pilih mentri, klo tidak berprestasi  tidak ragu2 ganti. Jokowi pilih…",2022-02-22T15:50:14.000Z
12,1496150320153772032,RT @GojekOnTwitt: Peluncuran ekosistem kendaraan listrik kerjasama antara @pertamina beserta kementerian BUMN dengan @gojekindonesia yang d…,2022-02-22T15:50:08.000Z
13,1496150314285768707,"@MardaniAliSera Mar, kl orang2 @PKSejahtera jelas tdk akan mampu. Kalian bagian dari rezim mangkrak. Jgn ngukurnya dr kemampuan kalian. Kumpulan orang2 pesimis. Pakde @jokowi dan tim adlh orang2 yg luar biasa. Yg sdh banyak membangun. Sebaiknya anda pikirkan saja Formula E. Jgn smpe mangkrak.",2022-02-22T15:50:06.000Z
14,1496150305666392072,RT @cintaNKRIsejati: Wow keren...Himbara catat kinerja cemerlang di sepanjang th 2021. Total raup keuntungan 72T lbh! Di tangan pak @erickt…,2022-02-22T15:50:04.000Z
15,1496150299412922368,"RT @OposisiCerdas: Haris Pertama: Pak Jokowi, Pak Kapolri Tolong Buka ke Publik Siapa yang Ingin Habisi Saya
https://t.co/6u8jejqcUg",2022-02-22T15:50:03.000Z
16,1496150288088301571,@jokowi Yg jelas...menko Marvel's pak Jokowi pemimpin IKN,2022-02-22T15:50:00.000Z
17,1496150285320089609,"RT @knpiharis: Mereka di bayar untuk melakukan penganiayaan yang mengakibatkan diri saya hampir saja kehilangan nyawa, tolong pak @jokowi d…",2022-02-22T15:49:59.000Z
